Interview Id,Interview Name,Interview Owner Id,Client Id,Candidate Id,Job Opening Id,Application ID,From,To,Interview Type,Interview Status,Batch Name,Cancellation Reason,Feedback,Created Time
Zrecruit_159941000008211288,Telephonic Interview,Vidhi Yelkar,Zrecruit_159941000001685151,159941000007724589,Zrecruit_159941000008123041,Zrecruit_159941000008127572,19/02/2026 10:00 AM,19/02/2026 10:30 AM,Adhoc Interview,Move to Next Round/Process,ACDM & PCDMS September 2025 Batch 2 - 514,,interview to be scheduled next week,23/02/2026 10:41 AM
Zrecruit_159941000008201790,HR Round (Offline),Raj Pithadia,Zrecruit_159941000008098403,159941000007566275,Zrecruit_159941000008098475,Zrecruit_159941000008091248,19/02/2026 12:00 AM,19/02/2026 12:30 AM,Adhoc Interview,On-Hold,ACDM & PCDMS September 2025 Batch 2 - 514,,POC wants to interview other profiles and then take a call.,23/02/2026 12:06 AM
Zrecruit_159941000008201663,Telephonic Interview,Raj Pithadia,Zrecruit_159941000000615473,159941000008053079,Zrecruit_159941000008021341,Zrecruit_159941000008053085,18/02/2026 12:00 AM,18/02/2026 12:30 AM,Adhoc Interview,Rejected,ACDM & PCDMS August 2025 Batch 2 - 508,,Wants minimum 6 months experience in SEO.,23/02/2026 12:03 AM
Zrecruit_159941000008195391,Telephonic Interview,Raj Pithadia,Zrecruit_159941000008112434,159941000007390550,Zrecruit_159941000008112442,Zrecruit_159941000008127334,20/02/2026 02:00 PM,20/02/2026 02:30 PM,Adhoc Interview,Rejected,ACDM & PCDMS September 2025 Batch 2 - 514,,Call not asnwered.,21/02/2026 02:27 PM
Zrecruit_159941000008195323,Telephonic Interview,Raj Pithadia,Zrecruit_159941000008112434,159941000007566275,Zrecruit_159941000008112442,Zrecruit_159941000008127337,20/02/2026 02:00 PM,20/02/2026 02:30 PM,Adhoc Interview,Rejected,ACDM & PCDMS September 2025 Batch 2 - 514,,Call not answered.,21/02/2026 02:24 PM
Zrecruit_159941000008185213,HR Round (Offline),Dania Assadi,Zrecruit_159941000007199370,159941000007566275,Zrecruit_159941000008110903,Zrecruit_159941000008127410,21/02/2026 12:00 PM,21/02/2026 12:30 PM,In-person Interview,Hired,ACDM & PCDMS September 2025 Batch 2 - 514,,hired,20/02/2026 01:37 PM
Zrecruit_159941000008181333,Assignment Round,Dania Assadi,Zrecruit_159941000002422397,159941000007724589,Zrecruit_159941000008096899,Zrecruit_159941000008075263,21/02/2026 04:30 PM,21/02/2026 05:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,19/02/2026 07:09 PM
Zrecruit_159941000008181310,Online Interview,Dania Assadi,Zrecruit_159941000002422397,159941000007724589,Zrecruit_159941000008096899,Zrecruit_159941000008075263,19/02/2026 02:30 PM,19/02/2026 03:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,19/02/2026 07:09 PM
Zrecruit_159941000008171918,Assignment Round,Dania Assadi,Zrecruit_159941000008009100,159941000007390550,Zrecruit_159941000008012009,Zrecruit_159941000008041708,21/02/2026 05:00 PM,21/02/2026 05:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,19/02/2026 06:30 PM
Zrecruit_159941000008166008,Technical Round,Aanchal Sharma,Zrecruit_159941000007202864,159941000007724589,Zrecruit_159941000008012492,Zrecruit_159941000008037395,20/02/2026 05:30 PM,20/02/2026 06:30 PM,In-person Interview,,ACDM & PCDMS September 2025 Batch 2 - 514,,,19/02/2026 11:59 AM
Zrecruit_159941000008149131,HR Round (Offline),Dania Assadi,Zrecruit_159941000008009100,159941000007390550,Zrecruit_159941000008012009,Zrecruit_159941000008041708,19/02/2026 01:00 PM,19/02/2026 01:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,18/02/2026 01:37 PM
Zrecruit_159941000008149096,HR Round (Offline),Dania Assadi,Zrecruit_159941000008009100,159941000007566275,Zrecruit_159941000008012009,Zrecruit_159941000008041711,19/02/2026 01:30 PM,19/02/2026 02:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,18/02/2026 01:37 PM
Zrecruit_159941000008147081,HR Round (Offline),Raj Pithadia,Zrecruit_159941000008098403,159941000007566275,Zrecruit_159941000008098475,Zrecruit_159941000008091248,18/02/2026 02:00 PM,18/02/2026 02:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,18/02/2026 11:23 AM
Zrecruit_159941000008113263,Technical Round,Aanchal Sharma,Zrecruit_159941000007202864,159941000007724589,Zrecruit_159941000008012492,Zrecruit_159941000008037395,17/02/2026 12:00 PM,17/02/2026 01:00 PM,In-person Interview,,ACDM & PCDMS September 2025 Batch 2 - 514,,,16/02/2026 01:37 PM
Zrecruit_159941000008100724,Telephonic Interview,Vidhi Yelkar,Zrecruit_159941000000801289,159941000007291071,Zrecruit_159941000008064650,Zrecruit_159941000008054813,12/02/2026 4:00 PM,12/02/2026 4:30 PM,Adhoc Interview,Move to Next Round/Process,ACDM & PCDMS August 2025 Batch 2 - 508,,online interview to be schedule,12/02/2026 7:40 PM
Zrecruit_159941000008100693,Assignment Round,Riddhi Rane,Zrecruit_159941000002934413,159941000007724589,Zrecruit_159941000008039856,Zrecruit_159941000008041360,13/02/2026 04:00 PM,13/02/2026 04:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,12/02/2026 7:31 PM
Zrecruit_159941000008098075,Online Interview,Gemini Patel,Zrecruit_159941000000619745,159941000007724589,Zrecruit_159941000008012249,Zrecruit_159941000008041459,13/02/2026 02:30 PM,13/02/2026 03:00 PM,In-person Interview,Rejected,ACDM & PCDMS September 2025 Batch 2 - 514,,na,12/02/2026 6:02 PM
Zrecruit_159941000008085968,HR Round (Offline),Riddhi Rane,Zrecruit_159941000002934413,159941000007390550,Zrecruit_159941000008039856,Zrecruit_159941000008041362,12/02/2026 5:00 PM,12/02/2026 5:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,12/02/2026 1:11 PM
Zrecruit_159941000008085947,Telephonic Interview,Riddhi Rane,Zrecruit_159941000002934413,159941000007390550,Zrecruit_159941000008039856,Zrecruit_159941000008041362,11/02/2026 6:30 PM,11/02/2026 7:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,12/02/2026 1:10 PM
Zrecruit_159941000008085741,HR Round (Offline),Riddhi Rane,Zrecruit_159941000002934413,159941000007724589,Zrecruit_159941000008039856,Zrecruit_159941000008041360,12/02/2026 5:00 PM,12/02/2026 5:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,12/02/2026 11:48 AM
Zrecruit_159941000008085724,Telephonic Interview,Riddhi Rane,Zrecruit_159941000002934413,159941000007724589,Zrecruit_159941000008039856,Zrecruit_159941000008041360,11/02/2026 6:30 PM,11/02/2026 7:00 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,12/02/2026 11:47 AM
Zrecruit_159941000008077592,Online Interview,Vidhi Yelkar,Zrecruit_159941000000795953,159941000007729331,Zrecruit_159941000008077549,Zrecruit_159941000008077570,11/02/2026 12:00 PM,11/02/2026 12:30 PM,Adhoc Interview,On-Hold,ACDM & PCDMS September 2025 Batch 2 - 514,,Awaiting response from the HR,11/02/2026 8:09 PM
